Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,4,0.000,6.529
4.900,4,0.436,6.529
9.799,2,0.873,6.529
14.699,2,1.309,6.529
19.598,3,1.746,6.529
24.498,3,2.182,6.529
29.397,2,2.619,6.529
34.297,4,3.055,6.529
39.196,5,3.492,6.529
44.096,4,3.928,6.529
48.996,3,4.365,6.529
53.895,2,4.801,6.529
58.795,1,5.238,6.529
63.694,3,5.674,6.529
68.594,3,6.111,6.529
73.493,3,6.547,6.529
78.393,3,6.984,6.529
83.293,2,7.420,6.529
88.192,4,7.857,6.529
93.092,3,8.293,6.529
97.991,3,8.730,6.529
102.891,4,9.166,6.529
107.790,3,9.603,6.529
112.690,0,10.039,6.529
117.589,4,10.476,6.529
122.489,5,10.912,6.529
127.389,4,11.349,6.529
132.288,6,11.785,6.529
137.188,7,12.222,6.529
142.087,5,12.658,6.529
146.987,7,13.095,6.529
151.886,10,13.531,6.529
156.786,10,13.968,6.529
161.685,12,14.404,6.529
166.585,16,14.841,6.529
171.485,18,15.277,6.529
176.384,26,15.714,6.529
181.284,31,16.150,6.529
186.183,46,16.587,6.529
191.083,60,17.023,6.529
195.982,86,17.460,6.529
200.882,114,17.896,6.529
205.781,150,18.333,6.529
210.681,184,18.769,6.529
215.581,211,19.206,6.529
220.480,212,19.642,6.529
225.380,189,20.079,6.529
230.279,150,20.515,6.529
235.179,121,20.952,6.529
240.078,92,21.388,6.529
244.978,73,21.825,6.529
249.878,59,22.261,6.529
254.777,50,22.698,6.529
259.677,40,23.134,6.529
264.576,36,23.571,6.529
269.476,29,24.007,6.529
274.375,23,24.444,6.529
279.275,18,24.880,6.529
284.174,17,25.317,6.529
289.074,15,25.753,6.529
293.974,13,26.190,6.529
298.873,8,26.626,6.529
303.773,10,27.063,6.529
308.672,12,27.499,6.529
313.572,11,27.936,6.529
318.471,6,28.372,6.529
323.371,5,28.809,6.529
328.270,5,29.245,6.529
333.170,7,29.682,6.529
338.070,5,30.118,6.529
342.969,5,30.555,6.529
347.869,5,30.991,6.529
352.768,5,31.428,6.529
357.668,5,31.864,6.529
362.567,4,32.301,6.529
367.467,4,32.737,6.529
372.366,5,33.174,6.529
377.266,6,33.610,6.529
382.166,5,34.047,6.529
387.065,6,34.483,6.529
391.965,5,34.920,6.529
396.864,5,35.356,6.529
401.764,4,35.793,6.529
406.663,3,36.229,6.529
411.563,4,36.666,6.529
416.463,4,37.102,6.529
421.362,3,37.539,6.529
426.262,3,37.975,6.529
431.161,3,38.412,6.529
436.061,4,38.848,6.529
,,39.285,6.529
,,39.721,6.529
,,40.158,6.529
,,40.594,6.529
,,41.031,6.529
,,41.467,6.529
,,41.904,6.529
,,42.340,6.529
,,42.777,6.529
,,43.213,6.529
,,43.650,6.529
,,44.086,6.529
,,44.523,6.529
,,44.959,6.529
,,45.396,6.529
,,45.832,6.529
,,46.269,6.529
,,46.705,6.529
,,47.142,6.529
,,47.578,6.529
,,48.015,6.529
,,48.451,6.529
,,48.888,6.529
,,49.324,6.529
,,49.761,6.529
,,50.197,6.529
,,50.634,6.529
,,51.070,6.529
,,51.507,6.529
,,51.943,6.529
,,52.380,6.529
,,52.816,6.529
,,53.253,6.529
,,53.689,6.529
,,54.126,6.529
,,54.562,6.529
,,54.999,6.529
,,55.435,6.529
,,55.872,6.529
,,56.308,6.529
,,56.745,6.529
,,57.181,6.529
,,57.618,6.529
,,58.054,6.529
,,58.491,6.529
,,58.927,6.529
,,59.364,6.529
,,59.800,6.529
,,60.237,6.529
,,60.673,6.529
,,61.110,6.529
,,61.546,6.529
,,61.983,6.529
,,62.419,6.529
,,62.856,6.529
,,63.292,6.529
,,63.729,6.529
,,64.165,6.529
,,64.602,6.529
,,65.038,6.529
,,65.475,6.529
,,65.911,6.529
,,66.348,6.529
,,66.784,6.529
,,67.221,6.529
,,67.657,6.529
,,68.094,6.529
,,68.530,6.529
,,68.967,6.529
,,69.403,6.529
,,69.840,6.529
,,70.276,6.529
,,70.713,6.529
,,71.149,6.529
,,71.586,6.529
