Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,3,0.000,3.717
4.900,1,0.687,3.717
9.799,3,1.373,3.717
14.699,3,2.060,3.717
19.598,4,2.746,3.717
24.498,1,3.433,3.717
29.397,1,4.120,3.717
34.297,1,4.806,3.717
39.196,3,5.493,3.717
44.096,3,6.180,3.717
48.996,3,6.866,3.717
53.895,3,7.553,3.717
58.795,3,8.239,3.717
63.694,2,8.926,3.717
68.594,0,9.613,3.717
73.493,0,10.299,3.717
78.393,2,10.986,3.717
83.293,1,11.673,3.717
88.192,3,12.359,3.717
93.092,3,13.046,3.717
97.991,1,13.732,3.717
102.891,3,14.419,3.717
107.790,2,15.106,3.717
112.690,3,15.792,3.717
117.589,3,16.479,3.717
122.489,3,17.166,3.717
127.389,2,17.852,3.717
132.288,2,18.539,3.717
137.188,2,19.225,3.717
142.087,3,19.912,3.717
146.987,2,20.599,3.717
151.886,2,21.285,3.717
156.786,3,21.972,3.717
161.685,4,22.659,3.717
166.585,1,23.345,3.717
171.485,1,24.032,3.717
176.384,3,24.718,3.717
181.284,3,25.405,3.717
186.183,4,26.092,3.717
191.083,2,26.778,3.717
195.982,2,27.465,3.717
200.882,2,28.152,3.717
205.781,1,28.838,3.717
210.681,5,29.525,3.717
215.581,1,30.211,3.717
220.480,4,30.898,3.717
225.380,4,31.585,3.717
230.279,5,32.271,3.717
235.179,3,32.958,3.717
240.078,4,33.645,3.717
244.978,4,34.331,3.717
249.878,5,35.018,3.717
254.777,5,35.704,3.717
259.677,6,36.391,3.717
264.576,3,37.078,3.717
269.476,4,37.764,3.717
274.375,7,38.451,3.717
279.275,9,39.138,3.717
284.174,8,39.824,3.717
289.074,12,40.511,3.717
293.974,14,41.197,3.717
298.873,15,41.884,3.717
303.773,18,42.571,3.717
308.672,25,43.257,3.717
313.572,36,43.944,3.717
318.471,49,44.631,3.717
323.371,72,45.317,3.717
328.270,106,46.004,3.717
333.170,153,46.690,3.717
338.070,195,47.377,3.717
342.969,211,48.064,3.717
347.869,190,48.750,3.717
352.768,144,49.437,3.717
357.668,101,50.124,3.717
362.567,70,50.810,3.717
367.467,49,51.497,3.717
372.366,33,52.183,3.717
377.266,25,52.870,3.717
382.166,20,53.557,3.717
387.065,18,54.243,3.717
391.965,13,54.930,3.717
396.864,12,55.617,3.717
401.764,8,56.303,3.717
406.663,7,56.990,3.717
411.563,8,57.676,3.717
416.463,5,58.363,3.717
421.362,6,59.050,3.717
426.262,6,59.736,3.717
431.161,4,60.423,3.717
436.061,5,61.110,3.717
440.960,4,61.796,3.717
445.860,3,62.483,3.717
450.759,5,63.169,3.717
455.659,4,63.856,3.717
460.559,3,64.543,3.717
465.458,4,65.229,3.717
470.358,3,65.916,3.717
475.257,4,66.603,3.717
480.157,3,67.289,3.717
485.056,2,67.976,3.717
489.956,4,68.662,3.717
494.855,0,69.349,3.717
499.755,3,70.036,3.717
504.655,0,70.722,3.717
509.554,2,71.409,3.717
514.454,2,72.096,3.717
519.353,2,72.782,3.717
524.253,3,73.469,3.717
529.152,0,74.155,3.717
534.052,1,74.842,3.717
538.951,1,75.529,3.717
543.851,2,76.215,3.717
548.751,2,76.902,3.717
553.650,4,77.589,3.717
558.550,2,78.275,3.717
563.449,1,78.962,3.717
568.349,0,79.648,3.717
573.248,3,80.335,3.717
578.148,0,81.022,3.717
583.048,2,81.708,3.717
587.947,1,82.395,3.717
592.847,3,83.082,3.717
597.746,3,83.768,3.717
602.646,2,84.455,3.717
607.545,4,85.141,3.717
612.445,1,85.828,3.717
617.344,1,86.515,3.717
622.244,0,87.201,3.717
627.144,2,87.888,3.717
632.043,2,88.575,3.717
636.943,2,89.261,3.717
641.842,2,89.948,3.717
646.742,1,90.634,3.717
651.641,1,91.321,3.717
656.541,2,92.008,3.717
661.440,1,92.694,3.717
666.340,2,93.381,3.717
671.240,4,94.068,3.717
676.139,3,94.754,3.717
681.039,2,95.441,3.717
685.938,0,96.127,3.717
,,96.814,3.717
,,97.501,3.717
,,98.187,3.717
,,98.874,3.717
,,99.561,3.717
,,100.247,3.717
,,100.934,3.717
,,101.620,3.717
,,102.307,3.717
,,102.994,3.717
,,103.680,3.717
,,104.367,3.717
,,105.054,3.717
,,105.740,3.717
,,106.427,3.717
,,107.113,3.717
,,107.800,3.717
,,108.487,3.717
,,109.173,3.717
,,109.860,3.717
,,110.547,3.717
,,111.233,3.717
,,111.920,3.717
,,112.606,3.717
,,113.293,3.717
,,113.980,3.717
,,114.666,3.717
,,115.353,3.717
,,116.040,3.717
,,116.726,3.717
,,117.413,3.717
,,118.099,3.717
,,118.786,3.717
,,119.473,3.717
,,120.159,3.717
,,120.846,3.717
,,121.533,3.717
,,122.219,3.717
