Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,1,0.000,2.803
4.900,1,0.996,2.803
9.799,2,1.991,2.803
14.699,2,2.987,2.803
19.598,1,3.982,2.803
24.498,2,4.978,2.803
29.397,0,5.974,2.803
34.297,2,6.969,2.803
39.196,0,7.965,2.803
44.096,1,8.960,2.803
48.996,1,9.956,2.803
53.895,1,10.952,2.803
58.795,0,11.947,2.803
63.694,1,12.943,2.803
68.594,2,13.938,2.803
73.493,3,14.934,2.803
78.393,2,15.930,2.803
83.293,2,16.925,2.803
88.192,3,17.921,2.803
93.092,1,18.917,2.803
97.991,1,19.912,2.803
102.891,1,20.908,2.803
107.790,2,21.903,2.803
112.690,1,22.899,2.803
117.589,3,23.895,2.803
122.489,3,24.890,2.803
127.389,3,25.886,2.803
132.288,2,26.881,2.803
137.188,2,27.877,2.803
142.087,1,28.873,2.803
146.987,2,29.868,2.803
151.886,3,30.864,2.803
156.786,2,31.859,2.803
161.685,3,32.855,2.803
166.585,4,33.851,2.803
171.485,3,34.846,2.803
176.384,2,35.842,2.803
181.284,2,36.837,2.803
186.183,1,37.833,2.803
191.083,0,38.829,2.803
195.982,0,39.824,2.803
200.882,2,40.820,2.803
205.781,4,41.815,2.803
210.681,4,42.811,2.803
215.581,1,43.807,2.803
220.480,3,44.802,2.803
225.380,3,45.798,2.803
230.279,1,46.793,2.803
235.179,0,47.789,2.803
240.078,2,48.785,2.803
244.978,3,49.780,2.803
249.878,3,50.776,2.803
254.777,1,51.772,2.803
259.677,1,52.767,2.803
264.576,2,53.763,2.803
269.476,2,54.758,2.803
274.375,2,55.754,2.803
279.275,4,56.750,2.803
284.174,3,57.745,2.803
289.074,2,58.741,2.803
293.974,1,59.736,2.803
298.873,2,60.732,2.803
303.773,3,61.728,2.803
308.672,4,62.723,2.803
313.572,0,63.719,2.803
318.471,0,64.714,2.803
323.371,2,65.710,2.803
328.270,2,66.706,2.803
333.170,0,67.701,2.803
338.070,2,68.697,2.803
342.969,2,69.692,2.803
347.869,2,70.688,2.803
352.768,1,71.684,2.803
357.668,4,72.679,2.803
362.567,3,73.675,2.803
367.467,4,74.670,2.803
372.366,3,75.666,2.803
377.266,2,76.662,2.803
382.166,1,77.657,2.803
387.065,4,78.653,2.803
