Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,0,0.000,3.503
4.900,1,1.005,3.503
9.799,1,2.011,3.503
14.699,2,3.016,3.503
19.598,1,4.022,3.503
24.498,2,5.027,3.503
29.397,0,6.032,3.503
34.297,3,7.038,3.503
39.196,3,8.043,3.503
44.096,0,9.049,3.503
48.996,2,10.054,3.503
53.895,2,11.060,3.503
58.795,2,12.065,3.503
63.694,1,13.070,3.503
68.594,2,14.076,3.503
73.493,1,15.081,3.503
78.393,3,16.087,3.503
83.293,2,17.092,3.503
88.192,2,18.097,3.503
93.092,3,19.103,3.503
97.991,3,20.108,3.503
102.891,1,21.114,3.503
107.790,2,22.119,3.503
112.690,4,23.125,3.503
117.589,0,24.130,3.503
122.489,1,25.135,3.503
127.389,1,26.141,3.503
132.288,0,27.146,3.503
137.188,2,28.152,3.503
142.087,2,29.157,3.503
146.987,4,30.162,3.503
151.886,4,31.168,3.503
156.786,2,32.173,3.503
161.685,1,33.179,3.503
166.585,1,34.184,3.503
171.485,2,35.190,3.503
176.384,4,36.195,3.503
181.284,3,37.200,3.503
186.183,2,38.206,3.503
191.083,1,39.211,3.503
195.982,2,40.217,3.503
200.882,3,41.222,3.503
205.781,3,42.227,3.503
210.681,1,43.233,3.503
215.581,2,44.238,3.503
220.480,4,45.244,3.503
225.380,1,46.249,3.503
230.279,3,47.255,3.503
235.179,1,48.260,3.503
240.078,3,49.265,3.503
244.978,2,50.271,3.503
249.878,1,51.276,3.503
254.777,1,52.282,3.503
259.677,3,53.287,3.503
264.576,3,54.292,3.503
269.476,2,55.298,3.503
274.375,4,56.303,3.503
279.275,3,57.309,3.503
284.174,1,58.314,3.503
289.074,1,59.319,3.503
293.974,2,60.325,3.503
298.873,3,61.330,3.503
303.773,3,62.336,3.503
308.672,3,63.341,3.503
313.572,4,64.347,3.503
318.471,5,65.352,3.503
323.371,5,66.357,3.503
328.270,5,67.363,3.503
333.170,5,68.368,3.503
338.070,5,69.374,3.503
342.969,7,70.379,3.503
347.869,5,71.384,3.503
352.768,5,72.390,3.503
357.668,5,73.395,3.503
362.567,5,74.401,3.503
367.467,8,75.406,3.503
372.366,10,76.412,3.503
377.266,6,77.417,3.503
382.166,12,78.422,3.503
387.065,14,79.428,3.503
391.965,17,80.433,3.503
396.864,19,81.439,3.503
401.764,22,82.444,3.503
406.663,26,83.449,3.503
411.563,27,84.455,3.503
416.463,31,85.460,3.503
421.362,34,86.466,3.503
426.262,38,87.471,3.503
431.161,43,88.477,3.503
436.061,55,89.482,3.503
440.960,61,90.487,3.503
445.860,75,91.493,3.503
450.759,91,92.498,3.503
455.659,106,93.504,3.503
460.559,124,94.509,3.503
465.458,141,95.514,3.503
470.358,159,96.520,3.503
475.257,185,97.525,3.503
480.157,211,98.531,3.503
485.056,242,99.536,3.503
489.956,255,100.542,3.503
494.855,255,101.547,3.503
499.755,255,102.552,3.503
504.655,255,103.558,3.503
509.554,255,104.563,3.503
514.454,255,105.569,3.503
519.353,226,106.574,3.503
524.253,190,107.579,3.503
529.152,167,108.585,3.503
534.052,144,109.590,3.503
538.951,125,110.596,3.503
543.851,110,111.601,3.503
548.751,96,112.606,3.503
553.650,81,113.612,3.503
558.550,67,114.617,3.503
563.449,57,115.623,3.503
568.349,50,116.628,3.503
573.248,41,117.634,3.503
578.148,35,118.639,3.503
583.048,30,119.644,3.503
587.947,22,120.650,3.503
592.847,21,121.655,3.503
597.746,17,122.661,3.503
602.646,15,123.666,3.503
607.545,10,124.671,3.503
612.445,12,125.677,3.503
617.344,6,126.682,3.503
622.244,7,127.688,3.503
627.144,5,128.693,3.503
632.043,5,129.699,3.503
636.943,6,130.704,3.503
641.842,3,131.709,3.503
646.742,4,132.715,3.503
651.641,4,133.720,3.503
656.541,3,134.726,3.503
661.440,4,135.731,3.503
666.340,3,136.736,3.503
671.240,3,137.742,3.503
676.139,3,138.747,3.503
681.039,2,139.753,3.503
685.938,4,140.758,3.503
690.838,0,141.764,3.503
695.737,3,142.769,3.503
700.637,4,143.774,3.503
705.536,2,144.780,3.503
710.436,3,145.785,3.503
715.336,3,146.791,3.503
720.235,1,147.796,3.503
725.135,2,148.801,3.503
730.034,2,149.807,3.503
734.934,3,150.812,3.503
739.833,3,151.818,3.503
744.733,1,152.823,3.503
749.633,0,153.828,3.503
754.532,2,154.834,3.503
759.432,3,155.839,3.503
764.331,1,156.845,3.503
769.231,3,157.850,3.503
774.130,1,158.856,3.503
779.030,1,159.861,3.503
783.929,0,160.866,3.503
