Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,0,0.000,2.046
4.900,0,0.868,2.046
9.799,2,1.736,2.046
14.699,2,2.604,2.046
19.598,3,3.472,2.046
24.498,2,4.340,2.046
29.397,3,5.209,2.046
34.297,3,6.077,2.046
39.196,1,6.945,2.046
44.096,1,7.813,2.046
48.996,1,8.681,2.046
53.895,2,9.549,2.046
58.795,2,10.417,2.046
63.694,3,11.285,2.046
68.594,4,12.153,2.046
73.493,2,13.021,2.046
78.393,2,13.889,2.046
83.293,1,14.758,2.046
88.192,1,15.626,2.046
93.092,2,16.494,2.046
97.991,3,17.362,2.046
102.891,2,18.230,2.046
107.790,3,19.098,2.046
112.690,3,19.966,2.046
117.589,1,20.834,2.046
122.489,2,21.702,2.046
127.389,3,22.570,2.046
132.288,2,23.438,2.046
137.188,1,24.307,2.046
142.087,0,25.175,2.046
146.987,2,26.043,2.046
151.886,3,26.911,2.046
156.786,2,27.779,2.046
161.685,0,28.647,2.046
166.585,3,29.515,2.046
171.485,2,30.383,2.046
176.384,1,31.251,2.046
181.284,1,32.119,2.046
186.183,2,32.987,2.046
191.083,2,33.856,2.046
195.982,3,34.724,2.046
200.882,1,35.592,2.046
205.781,0,36.460,2.046
210.681,1,37.328,2.046
215.581,2,38.196,2.046
220.480,1,39.064,2.046
225.380,4,39.932,2.046
230.279,2,40.800,2.046
235.179,2,41.668,2.046
240.078,2,42.536,2.046
244.978,1,43.404,2.046
249.878,3,44.273,2.046
254.777,3,45.141,2.046
259.677,0,46.009,2.046
264.576,1,46.877,2.046
269.476,2,47.745,2.046
274.375,1,48.613,2.046
279.275,0,49.481,2.046
284.174,3,50.349,2.046
289.074,2,51.217,2.046
293.974,0,52.085,2.046
298.873,0,52.953,2.046
303.773,3,53.822,2.046
308.672,2,54.690,2.046
313.572,4,55.558,2.046
318.471,2,56.426,2.046
323.371,1,57.294,2.046
328.270,0,58.162,2.046
333.170,1,59.030,2.046
338.070,3,59.898,2.046
342.969,1,60.766,2.046
347.869,2,61.634,2.046
352.768,5,62.502,2.046
357.668,6,63.371,2.046
362.567,7,64.239,2.046
367.467,9,65.107,2.046
372.366,18,65.975,2.046
377.266,24,66.843,2.046
382.166,36,67.711,2.046
387.065,44,68.579,2.046
391.965,63,69.447,2.046
396.864,77,70.315,2.046
401.764,99,71.183,2.046
406.663,118,72.051,2.046
411.563,133,72.920,2.046
416.463,152,73.788,2.046
421.362,169,74.656,2.046
426.262,173,75.524,2.046
431.161,187,76.392,2.046
436.061,187,77.260,2.046
440.960,183,78.128,2.046
445.860,177,78.996,2.046
450.759,166,79.864,2.046
455.659,149,80.732,2.046
460.559,134,81.600,2.046
465.458,117,82.469,2.046
470.358,103,83.337,2.046
475.257,88,84.205,2.046
480.157,74,85.073,2.046
485.056,62,85.941,2.046
489.956,52,86.809,2.046
494.855,40,87.677,2.046
499.755,34,88.545,2.046
504.655,27,89.413,2.046
509.554,23,90.281,2.046
514.454,18,91.149,2.046
519.353,14,92.018,2.046
524.253,8,92.886,2.046
529.152,7,93.754,2.046
534.052,5,94.622,2.046
538.951,5,95.490,2.046
543.851,6,96.358,2.046
548.751,6,97.226,2.046
553.650,4,98.094,2.046
558.550,4,98.962,2.046
563.449,5,99.830,2.046
568.349,5,100.698,2.046
573.248,4,101.567,2.046
578.148,5,102.435,2.046
583.048,3,103.303,2.046
587.947,3,104.171,2.046
592.847,4,105.039,2.046
597.746,3,105.907,2.046
602.646,2,106.775,2.046
607.545,1,107.643,2.046
612.445,1,108.511,2.046
617.344,3,109.379,2.046
622.244,2,110.247,2.046
627.144,2,111.116,2.046
632.043,2,111.984,2.046
636.943,2,112.852,2.046
641.842,1,113.720,2.046
646.742,2,114.588,2.046
651.641,3,115.456,2.046
656.541,1,116.324,2.046
661.440,1,117.192,2.046
666.340,0,118.060,2.046
671.240,1,118.928,2.046
676.139,3,119.796,2.046
681.039,0,120.665,2.046
685.938,3,121.533,2.046
690.838,3,122.401,2.046
695.737,3,123.269,2.046
700.637,2,124.137,2.046
705.536,2,125.005,2.046
710.436,3,125.873,2.046
715.336,2,126.741,2.046
720.235,1,127.609,2.046
725.135,3,128.477,2.046
730.034,1,129.345,2.046
734.934,1,130.214,2.046
739.833,0,131.082,2.046
744.733,2,131.950,2.046
749.633,3,132.818,2.046
754.532,2,133.686,2.046
759.432,1,134.554,2.046
764.331,0,135.422,2.046
769.231,1,136.290,2.046
774.130,4,137.158,2.046
779.030,2,138.026,2.046
783.929,2,138.894,2.046
788.829,1,139.762,2.046
793.729,2,140.631,2.046
798.628,2,141.499,2.046
803.528,1,142.367,2.046
808.427,2,143.235,2.046
813.327,1,144.103,2.046
818.226,2,144.971,2.046
823.126,1,145.839,2.046
828.025,1,146.707,2.046
832.925,2,147.575,2.046
837.825,2,148.443,2.046
842.724,2,149.311,2.046
847.624,2,150.180,2.046
852.523,1,151.048,2.046
857.423,1,151.916,2.046
862.322,2,152.784,2.046
867.222,2,153.652,2.046
,,154.520,2.046
,,155.388,2.046
,,156.256,2.046
,,157.124,2.046
,,157.992,2.046
,,158.860,2.046
,,159.729,2.046
,,160.597,2.046
,,161.465,2.046
,,162.333,2.046
,,163.201,2.046
,,164.069,2.046
,,164.937,2.046
,,165.805,2.046
,,166.673,2.046
,,167.541,2.046
,,168.409,2.046
,,169.278,2.046
,,170.146,2.046
,,171.014,2.046
,,171.882,2.046
,,172.750,2.046
,,173.618,2.046
,,174.486,2.046
,,175.354,2.046
,,176.222,2.046
,,177.090,2.046
,,177.958,2.046
,,178.827,2.046
,,179.695,2.046
,,180.563,2.046
,,181.431,2.046
,,182.299,2.046
,,183.167,2.046
,,184.035,2.046
,,184.903,2.046
,,185.771,2.046
,,186.639,2.046
,,187.507,2.046
,,188.376,2.046
,,189.244,2.046
,,190.112,2.046
,,190.980,2.046
,,191.848,2.046
,,192.716,2.046
,,193.584,2.046
,,194.452,2.046
,,195.320,2.046
,,196.188,2.046
,,197.056,2.046
,,197.925,2.046
,,198.793,2.046
,,199.661,2.046
,,200.529,2.046
,,201.397,2.046
,,202.265,2.046
,,203.133,2.046
,,204.001,2.046
,,204.869,2.046
,,205.737,2.046
,,206.605,2.046
,,207.474,2.046
,,208.342,2.046
,,209.210,2.046
,,210.078,2.046
,,210.946,2.046
,,211.814,2.046
,,212.682,2.046
,,213.550,2.046
,,214.418,2.046
,,215.286,2.046
,,216.154,2.046
,,217.023,2.046
,,217.891,2.046
,,218.759,2.046
,,219.627,2.046
,,220.495,2.046
,,221.363,2.046
,,222.231,2.046
,,223.099,2.046
,,223.967,2.046
,,224.835,2.046
,,225.703,2.046
,,226.571,2.046
,,227.440,2.046
,,228.308,2.046
,,229.176,2.046
,,230.044,2.046
,,230.912,2.046
,,231.780,2.046
,,232.648,2.046
,,233.516,2.046
,,234.384,2.046
,,235.252,2.046
,,236.120,2.046
,,236.989,2.046
,,237.857,2.046
,,238.725,2.046
,,239.593,2.046
,,240.461,2.046
,,241.329,2.046
,,242.197,2.046
,,243.065,2.046
,,243.933,2.046
,,244.801,2.046
,,245.669,2.046
,,246.538,2.046
,,247.406,2.046
,,248.274,2.046
,,249.142,2.046
,,250.010,2.046
,,250.878,2.046
,,251.746,2.046
,,252.614,2.046
,,253.482,2.046
,,254.350,2.046
,,255.218,2.046
,,256.087,2.046
,,256.955,2.046
,,257.823,2.046
,,258.691,2.046
,,259.559,2.046
,,260.427,2.046
,,261.295,2.046
,,262.163,2.046
,,263.031,2.046
,,263.899,2.046
,,264.767,2.046
,,265.636,2.046
,,266.504,2.046
,,267.372,2.046
,,268.240,2.046
,,269.108,2.046
,,269.976,2.046
,,270.844,2.046
,,271.712,2.047
,,272.580,2.047
,,273.448,2.047
,,274.316,2.047
,,275.185,2.047
,,276.053,2.047
,,276.921,2.047
,,277.789,2.047
,,278.657,2.047
,,279.525,2.047
,,280.393,2.047
,,281.261,2.047
,,282.129,2.047
,,282.997,2.047
,,283.865,2.047
