Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0.000,2,0.000,2.095
4.900,2,1.427,2.095
9.799,4,2.854,2.095
14.699,1,4.282,2.095
19.598,3,5.709,2.095
24.498,2,7.136,2.095
29.397,2,8.563,2.095
34.297,3,9.990,2.095
39.196,2,11.418,2.095
44.096,1,12.845,2.095
48.996,1,14.272,2.095
53.895,1,15.699,2.095
58.795,3,17.126,2.095
63.694,2,18.554,2.095
68.594,3,19.981,2.095
73.493,4,21.408,2.095
78.393,0,22.835,2.095
83.293,1,24.262,2.095
88.192,1,25.690,2.095
93.092,4,27.117,2.095
97.991,1,28.544,2.095
102.891,3,29.971,2.095
107.790,2,31.398,2.095
112.690,0,32.826,2.095
117.589,1,34.253,2.095
122.489,3,35.680,2.095
127.389,2,37.107,2.095
132.288,2,38.534,2.095
137.188,2,39.962,2.095
142.087,2,41.389,2.095
146.987,3,42.816,2.095
151.886,0,44.243,2.095
156.786,2,45.670,2.095
161.685,3,47.098,2.095
166.585,1,48.525,2.095
171.485,2,49.952,2.095
176.384,1,51.379,2.095
181.284,2,52.806,2.095
186.183,3,54.234,2.095
191.083,1,55.661,2.095
195.982,4,57.088,2.095
200.882,0,58.515,2.095
205.781,2,59.942,2.095
210.681,3,61.370,2.095
215.581,1,62.797,2.095
220.480,3,64.224,2.095
225.380,0,65.651,2.095
230.279,3,67.078,2.095
235.179,2,68.506,2.095
240.078,2,69.933,2.095
244.978,2,71.360,2.095
249.878,2,72.787,2.095
254.777,0,74.214,2.095
259.677,3,75.642,2.095
264.576,2,77.069,2.095
269.476,3,78.496,2.095
274.375,3,79.923,2.095
279.275,0,81.350,2.095
284.174,1,82.778,2.095
289.074,1,84.205,2.095
293.974,3,85.632,2.095
298.873,2,87.059,2.095
303.773,2,88.486,2.095
308.672,1,89.914,2.095
313.572,1,91.341,2.095
318.471,1,92.768,2.095
323.371,2,94.195,2.095
328.270,3,95.622,2.095
333.170,1,97.050,2.095
338.070,3,98.477,2.095
342.969,3,99.904,2.095
347.869,2,101.331,2.095
352.768,2,102.758,2.095
357.668,0,104.186,2.095
362.567,1,105.613,2.095
367.467,1,107.040,2.095
372.366,4,108.467,2.095
377.266,2,109.894,2.095
382.166,3,111.322,2.095
387.065,1,112.749,2.095
391.965,2,114.176,2.095
396.864,2,115.603,2.095
401.764,2,117.030,2.095
406.663,0,118.458,2.095
411.563,2,119.885,2.095
416.463,2,121.312,2.095
421.362,2,122.739,2.095
426.262,3,124.166,2.095
431.161,2,125.594,2.095
436.061,2,127.021,2.095
440.960,0,128.448,2.095
445.860,0,129.875,2.095
450.759,2,131.302,2.095
455.659,2,132.730,2.095
460.559,1,134.157,2.095
465.458,5,135.584,2.095
470.358,1,137.011,2.095
475.257,4,138.438,2.095
480.157,2,139.865,2.095
485.056,3,141.293,2.095
489.956,2,142.720,2.095
494.855,3,144.147,2.095
499.755,3,145.574,2.095
504.655,4,147.001,2.095
509.554,5,148.429,2.095
514.454,3,149.856,2.095
519.353,2,151.283,2.095
524.253,3,152.710,2.095
529.152,4,154.137,2.095
534.052,4,155.565,2.095
538.951,5,156.992,2.095
543.851,4,158.419,2.095
548.751,5,159.846,2.095
553.650,4,161.273,2.095
558.550,5,162.701,2.095
563.449,6,164.128,2.095
568.349,4,165.555,2.095
573.248,5,166.982,2.095
578.148,5,168.409,2.095
583.048,6,169.837,2.095
587.947,7,171.264,2.095
592.847,11,172.691,2.095
597.746,12,174.118,2.095
602.646,15,175.545,2.095
607.545,18,176.973,2.095
612.445,22,178.400,2.095
